pclass,sex,age,sibsp,parch,fare,cabin,embarked,title
3,male,,0,0,7.75,,Q, Mr
3,female,27.0,0,2,11.1333,,S, Mrs
3,female,,0,0,7.8792,,Q, Miss
1,male,18.0,1,0,108.9,C,C, Mr
2,female,27.0,0,0,10.5,E,S, Miss
3,male,,0,0,7.75,,Q, Mr
1,female,64.0,0,2,83.1583,E,C, Mrs
2,female,18.0,0,2,13.0,,S, Miss
1,male,36.0,0,1,512.3292,B,C, Mr
3,female,45.0,1,4,27.9,,S, Mrs
3,female,33.0,3,0,15.85,,S, Mrs
1,female,24.0,3,2,263.0,C,S, Miss
3,male,,0,0,7.55,,S, Mr
2,male,36.5,0,2,26.0,F,S, Mr
1,male,,0,0,51.8625,E,S, Mr
3,male,5.0,4,2,31.3875,,S, Master
1,female,37.0,1,0,90.0,C,Q, Mrs
3,male,30.0,0,0,7.2292,,C, Mr
1,female,51.0,0,1,39.4,D,S, Mrs
1,male,57.0,1,0,146.5208,B,C, Mr
1,male,55.0,0,0,50.0,C,S, Mr
3,female,22.0,0,0,39.6875,,S, Miss
1,male,41.0,1,0,51.8625,D,S, Mr
2,male,18.0,0,0,73.5,,S, Mr
1,male,25.0,1,0,91.0792,B,C, Mr
3,male,,1,1,22.3583,,C, Master
1,male,22.0,0,0,135.6333,,C, Mr
3,female,19.0,1,0,7.8542,,S, Miss
1,male,48.0,1,0,76.7292,D,C, Mr
3,female,,0,0,15.5,,Q, Miss
3,female,37.0,0,0,9.5875,,S, Miss
2,male,25.0,1,2,41.5792,,C, Mr
1,female,64.0,1,1,26.55,B,S, Mrs
1,female,35.0,0,0,211.5,C,C, Miss
3,male,,1,0,19.9667,,S, Mr
1,female,23.0,1,0,82.2667,B,S, Mrs
3,male,20.0,0,0,7.925,,S, Mr
2,male,30.0,0,0,12.7375,,C, Mr
3,male,,0,0,7.55,,S, Mr
1,male,36.0,0,0,26.3875,E,S, Mr
1,female,22.0,0,0,151.55,,S, Miss
2,female,28.0,0,0,13.0,,S, Ms
2,male,27.0,0,0,15.0333,,C, Mr
2,male,31.0,0,0,13.0,,S, Mr
2,male,25.0,0,0,13.0,,S, Mr
1,male,,0,0,30.5,C,S, Mr
3,female,1.0,0,2,15.7417,,C, Miss
3,male,19.0,0,0,10.1708,,S, Mr
2,male,50.0,1,0,26.0,,S, Mr
1,male,49.0,1,0,89.1042,C,C, Mr
3,male,32.0,0,0,7.925,,S, Mr
3,male,27.0,1,0,14.4542,,C, Mr
1,female,76.0,1,0,78.85,C,S, Mrs
3,male,,0,0,7.75,,Q, Mr
3,male,26.0,0,0,7.8792,,Q, Mr
3,male,,0,0,15.5,,Q, Mr
3,male,6.0,0,1,12.475,E,S, Master
1,female,15.0,0,1,211.3375,B,S, Miss
3,male,16.0,0,0,7.775,,S, Mr
3,male,16.0,1,1,20.25,,S, Mr
2,male,28.0,0,0,26.0,,S, Mr
3,female,,0,0,14.5,,S, Mrs
3,female,,3,1,25.4667,,S, Miss
3,male,,0,0,7.8958,,S, Mr
1,female,41.0,0,0,134.5,E,C, Miss
2,male,,0,0,0.0,,S, Mr
3,male,,0,0,24.15,,Q, Mr
3,female,0.1667,1,2,20.575,,S, Miss
3,male,,0,0,7.575,,S, Mr
1,male,,0,0,50.0,A,S, Mr
2,male,,0,0,0.0,,S, Mr
3,male,23.5,0,0,7.2292,,C, Mr
3,male,,0,0,7.775,,S, Mr
3,female,18.0,0,1,9.35,,S, Mrs
1,female,39.0,0,0,108.9,C,C, Dona
1,male,47.0,0,0,52.0,C,S, Mr
3,male,14.0,4,1,39.6875,,S, Mr
1,female,36.0,1,2,120.0,B,S, Mrs
1,female,27.0,1,2,52.0,B,S, Mrs
3,male,14.0,5,2,46.9,,S, Mr
3,male,25.0,0,0,7.65,F,S, Mr
2,female,48.0,0,2,36.75,,S, Mrs
3,male,25.0,0,0,7.925,,S, Mr
3,male,22.0,0,0,8.05,,S, Mr
3,male,22.0,0,0,7.8958,,S, Mr
1,female,35.0,0,0,512.3292,,C, Miss
3,male,17.0,0,0,7.8958,,S, Mr
3,male,19.0,0,0,7.65,F,S, Mr
1,male,39.0,1,0,71.2833,C,C, Mr
2,female,2.0,1,1,26.0,,S, Miss
3,female,14.0,0,0,7.8542,,S, Miss
3,male,21.0,0,0,7.8,,S, Mr
3,male,28.5,0,0,16.1,,S, Mr
2,female,33.0,0,2,26.0,,S, Mrs
3,female,3.0,1,1,13.775,,S, Miss
2,female,,0,0,33.0,,S, Miss
3,male,16.0,4,1,39.6875,,S, Mr
2,male,32.0,0,0,13.5,,S, Mr
3,male,1.0,1,2,20.575,,S, Master
2,female,21.0,0,0,10.5,,S, Miss
2,female,50.0,0,1,26.0,,S, Mrs
3,male,32.0,0,0,8.05,E,S, Mr
1,female,39.0,1,0,55.9,E,S, Mrs
3,male,,0,0,7.8958,,S, Mr
1,male,35.0,0,0,26.55,,C, Mr
3,male,11.0,5,2,46.9,,S, Master
3,male,36.0,1,0,15.55,,S, Mr
2,male,14.0,0,0,65.0,,S, Mr
1,female,33.0,0,0,27.7208,A,C, Miss
3,female,,1,0,14.4542,,C, Mrs
3,male,55.5,0,0,8.05,,S, Mr
2,male,23.0,0,0,10.5,,S, Dr
3,female,,0,2,15.2458,,C, Mrs
3,male,20.0,0,0,9.225,,S, Mr
3,male,,0,0,7.2292,,C, Mr
3,male,17.0,0,0,8.6625,,S, Mr
3,female,,1,9,69.55,,S, Mrs
3,male,44.0,0,0,8.05,,S, Mr
3,male,,0,0,7.8875,,S, Mr
3,female,25.0,0,0,7.775,,S, Miss
3,male,9.0,4,2,31.3875,,S, Master
3,male,25.0,0,0,7.05,,S, Mr
2,male,40.0,0,0,16.0,,S, Mr
1,female,39.0,1,1,79.65,E,S, Mrs
1,female,18.0,1,0,60.0,C,S, Mrs
3,male,,0,0,7.7375,,Q, Mr
3,female,,1,0,14.4583,,C, Mrs
3,male,,0,0,7.8792,,Q, Mr
3,male,33.0,0,0,7.775,,S, Mr
3,male,34.5,0,0,7.8292,,Q, Mr
3,male,32.0,0,0,56.4958,,S, Mr
3,male,28.0,2,0,7.925,,S, Mr
2,male,63.0,1,0,26.0,,S, Mr
3,male,,0,0,8.05,,S, Mr
3,male,,0,0,7.75,,Q, Mr
1,male,48.0,1,0,52.0,C,S, Mr
3,male,16.0,0,0,9.5,,S, Mr
3,female,2.0,3,2,27.9,,S, Miss
1,male,47.0,0,0,42.4,,S, Mr
1,female,52.0,1,0,78.2667,D,C, Mrs
3,male,35.0,0,0,8.05,,S, Mr
1,male,49.0,0,0,0.0,B,S, Mr
2,female,22.0,0,0,10.5,F,S, Mrs
3,male,3.0,1,1,15.9,,S, Master
3,male,20.0,0,0,9.5,,S, Mr
3,female,21.0,2,2,34.375,,S, Miss
3,male,,0,0,7.75,F,Q, Mr
3,male,34.0,1,1,14.4,,S, Mr
2,female,34.0,0,0,13.0,,S, Miss
3,male,26.0,0,0,7.8875,,S, Mr
1,male,,0,0,29.7,C,C, Mr
2,female,20.0,0,0,36.75,,S, Miss
2,male,38.0,1,0,21.0,,S, Mr
1,female,22.0,0,2,49.5,B,C, Miss
3,male,,0,0,8.6625,,S, Mr
3,female,32.0,1,1,15.5,,Q, Mrs
3,male,,0,0,7.8958,,S, Mr
2,female,14.0,1,0,30.0708,,C, Mrs
1,female,22.0,0,1,61.9792,B,C, Miss
2,female,29.0,0,0,10.5,F,S, Mrs
3,female,,0,0,7.75,,Q, Miss
2,female,45.0,0,0,13.5,,S, Mrs
3,female,22.0,2,0,8.6625,,S, Miss
2,male,54.0,0,0,14.0,,S, Dr
3,female,35.0,1,1,20.25,,S, Mrs
3,male,32.0,0,0,7.75,,Q, Mr
3,male,25.0,1,0,17.8,,S, Mr
